StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,InformedConsent,Instruct2_1,Instruct8_1,cards_con_cause_1,cards_con_conf_1,cards_dis_cause_1,cards_dis_conf_1,casino_con_cause_1,casino_con_conf_1,casino_dis_cause_1,casino_dis_conf_1,chores_con_cause_1,chores_con_conf_1,chores_dis_cause_1,chores_dis_conf_1,ducks_con_cause_1,ducks_con_conf_1,ducks_dis_cause_1,ducks_dis_conf_1,fruit_con_cause_1,fruit_con_conf_1,fruit_dis_cause_1,fruit_dis_conf_1,wheels_con_cause_1,wheels_con_conf_1,wheels_dis_cause_1,wheels_dis_conf_1,Age,Sex,AttnCheck,PROLIFIC_PID,STUDY_ID,SESSION_ID,cards_probC,cards_probA,casino_probC,casino_probA,chores_probC,chores_probA,ducks_probC,ducks_probA,fruit_probC,fruit_probA,wheels_probC,wheels_probA
3/25/21 14:36,3/25/21 14:39,IP Address,,100,187,TRUE,3/25/21 14:39,R_2COMgmvULBfafat,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.41,0.173,,,,,1,1,0.856,0.851,,,0.275,0.211,,,1,1,,,,,0.62,0.414,33,Female,Yes.,5edc567db663bd90a20a05d1,605b6ee6691599ae7a55f84e,605cf452e85e25dd3b23cd51,4,1,2,5,2,3,10,2,5,1,9,2
3/25/21 14:35,3/25/21 14:40,IP Address,,100,280,TRUE,3/25/21 14:40,R_DhOhSwR3tBDOGAh,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0,1,0.392,1,,,,,0.925,1,,,0.845,0.973,,,0.715,1,0.635,1,,,30,Male,Yes.,5c5c54c900b69200011bb9b2,605b6ee6691599ae7a55f84e,605cf3ff7d198c58aeaef67a,3,10,5,3,1,3,8,4,6,1,2,2
3/25/21 14:31,3/25/21 14:41,IP Address,,100,603,TRUE,3/25/21 14:41,R_2P0gXdWZ6QnHPJH,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.587,1,,,,,1,1,0.741,1,,,,,0.666,1,,,0.604,1,,,0.825,1,44,Male,Yes.,58472149000f1000010ebc53,605b6ee6691599ae7a55f84e,605cf2f6fd5d00532538bc5e,6,1,10,4,8,2,8,9,7,3,3,4
3/25/21 14:40,3/25/21 14:43,IP Address,,100,209,TRUE,3/25/21 14:43,R_2SuDSHs3eRVJNXO,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.848,0.978,,,0.955,0.966,,,0.81,0.814,,,0.924,0.987,,,0.949,0.969,,,0.89,0.947,,,18,Female,Yes.,5f6fb34b16d545146f222f35,605b6ee6691599ae7a55f84e,605cf5291a778e05cb9cb72e,4,10,1,5,10,4,1,4,1,3,4,9
3/25/21 14:37,3/25/21 14:44,IP Address,,100,461,TRUE,3/25/21 14:44,R_323nmZ6tsWf8n9R,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,1,1,1,1,,,1,1,,,1,1,,,,,1,1,,,1,1,60,Male,Yes.,5c5f4eb61cae46000117dfd6,605b6ee6691599ae7a55f84e,605cf46ac4b2cfaa1ba2a8b4,7,5,7,2,10,6,10,3,5,5,4,1
3/25/21 14:43,3/25/21 14:50,IP Address,,100,460,TRUE,3/25/21 14:50,R_SDcPZ3QBC8MRMul,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.694,1,,,,,0.062,1,0.817,1,,,,,0.607,1,0.717,1,,,0.745,1,,,34,Male,Yes.,6059e748b2ab614772eb4424,605b6ee6691599ae7a55f84e,605cf5dfeda8cdfe758593ae,6,5,9,10,1,5,7,1,9,10,1,5
3/25/21 14:49,3/25/21 14:53,IP Address,,100,230,TRUE,3/25/21 14:53,R_0cDvj3VTMAe0MfL,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0.51,1,,,0.51,1,1,1,,,0.51,1,,,1,1,,,,,0.51,1,36,Female,Yes.,5e387dba03aa45000bc6e272,605b6ee6691599ae7a55f84e,605cf7543f6de502e7c7984a,3,3,3,5,7,10,9,4,8,10,5,5
3/25/21 14:49,3/25/21 14:55,IP Address,,100,347,TRUE,3/25/21 14:55,R_0P5E42GwkRFRtjr,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,1,1,,,1,1,,,1,1,1,1,,,1,1,,,,,1,1,18,Male,Yes.,5fd9481e34d52342583e7d01,605b6ee6691599ae7a55f84e,605cf76a89c30f28d84299cf,8,3,3,5,10,7,3,1,3,3,1,2
3/25/21 14:53,3/25/21 14:57,IP Address,,100,237,TRUE,3/25/21 14:57,R_1JLvRO8rTBuGlgG,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.858,0.842,,,0.752,0.87,,,1,1,,,1,1,,,0.962,0.968,,,,,0.78,0.903,20,Female,Yes.,601cb0292e49e0813c2beea0,605b6ee6691599ae7a55f84e,605cf82b0127dd193ceb8fcb,1,1,2,3,10,5,10,5,9,4,2,10
3/25/21 14:56,3/25/21 15:01,IP Address,,100,321,TRUE,3/25/21 15:01,R_1gvgJsVNoxL4CtH,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0.932,0.851,0.899,0.906,,,0.928,0.741,,,0.768,0.865,,,0.12,0.872,,,,,0.734,0.903,27,Male,Yes.,5af7646de066a40001135ce2,605b6ee6691599ae7a55f84e,605cf8feb74813a334365310,1,5,6,7,8,2,2,9,4,2,4,4
3/25/21 14:56,3/25/21 15:02,IP Address,,100,380,TRUE,3/25/21 15:02,R_3PcNWNbGMnslhVa,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,1,1,,,1,1,,,,,0.506,1,,,1,1,1,1,,,1,1,,,36,Male,Yes.,58c9f7268158840001b5cf81,605b6ee6691599ae7a55f84e,605cf8e054a959702be8c581,6,6,1,8,2,2,4,10,2,4,6,8
3/25/21 15:08,3/25/21 15:12,IP Address,,100,223,TRUE,3/25/21 15:12,R_3kAKrKSs9SRZ2ZP,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0.744,0.482,,,0.721,0.761,,,0.692,0.708,,,0.715,0.646,0.732,0.627,,,0.624,0.63,,,22,Female,Yes.,5ec9e7a47a32d25003dfd170,605b6ee6691599ae7a55f84e,605cfbc00409fdb89bb1f0ae,8,2,8,1,1,3,7,9,6,6,8,5
3/25/21 15:06,3/25/21 15:13,IP Address,,100,387,TRUE,3/25/21 15:13,R_Z7UWJ0yYHVDrpsd,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0.659,1,1,1,,,0.752,1,,,,,0.745,1,0.749,1,,,0.742,1,,,22,Female,Yes.,5d09a5591c2bca0019509be7,605b6ee6691599ae7a55f84e,605cfb609bf0a3d334aa1deb,10,4,9,10,9,2,4,4,9,3,7,5
3/25/21 15:03,3/25/21 15:13,IP Address,,100,556,TRUE,3/25/21 15:13,R_3KHrMODAqs1nj2Q,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,1,1,1,0.341,,,1,1,,,,,0,0.675,,,1,1,0,1,,,20,Female,"No, I had trouble paying attention.",605cc03063ed3488c8cdb385,605b6ee6691599ae7a55f84e,605cfab3dad42ab1bbf098dc,10,4,4,10,5,3,4,1,8,7,7,10
3/25/21 15:09,3/25/21 15:13,IP Address,,100,225,TRUE,3/25/21 15:13,R_1LIAs5TC8yxkrV7,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0.506,0.721,0.649,0.766,,,,,0.507,0.717,,,0.49,0.651,,,0.511,0.694,,,1,1,30,Female,Yes.,5c3965fc8e0f6f0001dbfe30,605b6ee6691599ae7a55f84e,605cfc0499fd257643e95332,2,3,8,7,6,2,4,8,5,3,5,5
3/25/21 15:08,3/25/21 15:15,IP Address,,100,406,TRUE,3/25/21 15:15,R_1mIQi23Ox7XTuco,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,1,1,,,,,0.819,0.765,0.781,1,,,,,0.813,0.255,,,0.8,1,0.819,0.826,,,19,Female,Yes.,605c333c02f730856a30bfc9,605b6ee6691599ae7a55f84e,605cfbdad81332b548372934,5,9,8,8,2,10,3,6,4,10,3,7
3/25/21 15:14,3/25/21 15:16,IP Address,,100,127,TRUE,3/25/21 15:16,R_337kDAlDoZ7mZop,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0,1,,,0,1,,,0,1,0,1,,,0,1,,,,,0,1,23,Male,Yes.,604bd114717fb3a60b54c48a,605b6ee6691599ae7a55f84e,605cfd1499fd257643e95337,2,1,1,4,9,5,10,4,5,6,2,8
3/25/21 15:11,3/25/21 15:17,IP Address,,100,377,TRUE,3/25/21 15:17,R_31mDZYYWsJlGk5r,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,1,1,,,0.497,0.394,0.777,0.689,,,0.68,0.558,,,,,0.658,0.573,,,1,1,23,Male,Yes.,5ff8b85316d8cf13ef0ee8f0,605b6ee6691599ae7a55f84e,605cfc653433bfc05508000a,10,1,5,3,10,7,3,5,3,8,10,9
3/25/21 15:01,3/25/21 15:22,IP Address,,100,1249,TRUE,3/25/21 15:22,R_3s6RuPwfw8u2tGG,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.724,0.794,,,0.603,0.665,,,0.001,0.5,,,,,0.5,1,,,0.406,0.708,,,0.635,0.5,38,Male,Yes.,5e25c265e1f46781e5577b4a,605b6ee6691599ae7a55f84e,605cfa2239e218c71684c277,7,3,4,10,10,5,10,7,3,1,4,1
3/25/21 15:12,3/25/21 15:23,IP Address,,100,647,TRUE,3/25/21 15:23,R_vcVUm3eyA7QyHuN,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.69,1,,,,,0.763,1,0.46,0.811,,,0.445,0.928,,,,,0.494,1,,,0.711,0.832,31,Female,Yes.,5b0cd94330d5620001555be8,605b6ee6691599ae7a55f84e,605cfcc04ab2a2d200ba6c44,7,3,9,6,1,6,6,7,4,7,7,8
3/25/21 15:24,3/25/21 15:30,IP Address,,100,361,TRUE,3/25/21 15:30,R_0kwyq3aRevkEikN,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.682,0.583,,,0.628,0.654,,,,,0.758,0.594,,,0.803,0.78,0.631,0.583,,,,,0.692,0.538,39,Female,Yes.,57587b29713d8400061730e4,605b6ee6691599ae7a55f84e,605cff862b38275a1750bbfa,2,8,6,7,5,7,3,4,2,1,1,4
3/25/21 15:28,3/25/21 15:31,IP Address,,100,171,TRUE,3/25/21 15:31,R_V3DucRD87xhXr0J,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0.82,0.637,,,1,1,,,0.787,0.277,0.862,0.91,,,,,0.901,0.423,1,0.656,,,27,Male,Yes.,605a943f4994cf6834e4e8c6,605b6ee6691599ae7a55f84e,605d00680d34993af99da682,5,10,1,1,5,9,10,2,4,8,9,5
3/25/21 15:28,3/25/21 15:33,IP Address,,100,281,TRUE,3/25/21 15:33,R_33r4sEANvtXG6op,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.799,0.592,,,,,0.975,0.555,0.494,0.263,,,0.61,0.486,,,0.423,0.455,,,,,1,0.572,28,Female,Yes.,5f1fc22015a2281f2c666882,605b6ee6691599ae7a55f84e,605d008794d62d645d6e6ba7,3,8,9,5,7,7,1,3,7,6,6,2
3/25/21 15:26,3/25/21 15:33,IP Address,,100,433,TRUE,3/25/21 15:33,R_10Yp5HIF6zNUqLT,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,1,1,0.659,1,,,,,0.156,1,0.963,0.958,,,0.797,1,,,1,1,,,42,Female,Yes.,5ea3896bc30a7731fd3251bf,605b6ee6691599ae7a55f84e,605cfff1f47c08c5da804d59,2,2,1,10,4,10,9,9,5,8,7,5
3/25/21 15:26,3/25/21 15:33,IP Address,,100,424,TRUE,3/25/21 15:33,R_2Y5hhIm25E8l2Ps,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0.661,0.88,,,0.837,0.587,0.789,0.742,,,0.766,0.821,,,,,0.952,0.885,0.265,0.713,,,35,Female,Yes.,5999a1096b939900012da1c7,605b6ee6691599ae7a55f84e,605d0004660e13e587728fbc,6,8,3,5,9,6,9,7,7,8,10,5
3/25/21 15:30,3/25/21 15:34,IP Address,,100,240,TRUE,3/25/21 15:34,R_2YbMi1gtO0xnOnC,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.492,1,,,,,1,1,0.51,1,,,0.496,1,,,,,1,1,1,1,,,27,Male,Yes.,5e76ca9681ea06243ff82c46,605b6ee6691599ae7a55f84e,605d00eb0c582ce61db9b33c,2,9,5,8,2,2,8,10,5,4,6,8
3/25/21 15:30,3/25/21 15:38,IP Address,,100,465,TRUE,3/25/21 15:38,R_3HLz3snzUGo69vd,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,1,1,1,1,,,,,1,1,1,1,,,,,0.941,0.911,0.581,0.755,,,24,Male,Yes.,605b8cf6c07b6842b5cab429,605b6ee6691599ae7a55f84e,605d00e25ce8aa11cf057bb4,2,10,6,10,10,5,1,8,1,5,4,2
3/25/21 15:37,3/25/21 15:39,IP Address,,100,102,TRUE,3/25/21 15:39,R_8wAbYK7EMsBT6Cd,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.694,0.562,,,0.615,0.186,,,,,0.6,0.659,0.428,0.587,,,0.823,0.738,,,,,0.625,0.677,25,Male,"No, something else affected my participation negatively.",5fff1ba9b936b568490f2599,605b6ee6691599ae7a55f84e,605d028c4d6d3f559e1fb5cc,10,5,7,6,8,8,9,3,1,8,7,10
3/25/21 15:37,3/25/21 15:40,IP Address,,100,199,TRUE,3/25/21 15:40,R_1Hko9ElnpuhEKOQ,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,1,1,1,1,,,,,1,1,1,1,,,1,1,,,0.51,0.555,,,34,Male,Yes.,5d681f7326e50d00195faecf,605b6ee6691599ae7a55f84e,605d027a039ba34075b41697,4,3,1,1,7,6,3,10,9,10,9,9
3/25/21 15:36,3/25/21 15:41,IP Address,,100,291,TRUE,3/25/21 15:41,R_28BBguI9tmjPuyN,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,1,1,0.707,1,,,0.724,1,,,0.768,1,,,,,1,1,0.792,1,,,35,Male,Yes.,5dd3e3d286411b3cd7aaa0c9,605b6ee6691599ae7a55f84e,605d0271a53cf2f8d5c47445,2,9,5,6,4,3,1,9,3,2,5,5
3/25/21 15:38,3/25/21 15:43,IP Address,,100,323,TRUE,3/25/21 15:43,R_2zSbP98CF8DRhhj,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0,1,,,,,1,1,,,1,1,,,1,1,,,1,1,0.721,0.752,,,27,Other,Yes.,604a5861d33903e0b5851b32,605b6ee6691599ae7a55f84e,605d02b5ebfc9363ca5b7af2,10,3,1,8,6,4,8,3,2,2,8,3
3/25/21 15:37,3/25/21 15:44,IP Address,,100,416,TRUE,3/25/21 15:44,R_wZg0k6Gftc7KpfH,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,0.417,0.986,,,0.51,0.392,,,0.903,0.966,,,0.786,0.917,,,0.741,0.872,,,0.732,0.69,32,Male,Yes.,5c6f459b398a230001bb0031,605b6ee6691599ae7a55f84e,605d019466ecb06e5294336d,2,7,8,8,2,10,4,8,3,6,3,2
3/25/21 15:39,3/25/21 15:44,IP Address,,100,291,TRUE,3/25/21 15:44,R_7aG23YjvfUoMvbb,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,1,1,,,51,Female,Yes.,5f0632802b566a17e81a5f5f,605b6ee6691599ae7a55f84e,605d030ecf4605a91edc5a25,8,10,9,1,1,3,6,7,4,5,5,5
3/25/21 15:40,3/25/21 15:45,IP Address,,100,301,TRUE,3/25/21 15:45,R_3FIOCpLGgaKrIfW,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,60,Female,Yes.,5e80df6ef5008e7bff2ec9b3,605b6ee6691599ae7a55f84e,605d033fef6990865923af38,2,9,8,5,6,8,9,6,6,4,6,9
3/25/21 15:43,3/25/21 15:46,IP Address,,100,210,TRUE,3/25/21 15:46,R_21han4IuY2lzDNA,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.795,0.906,,,1,0.881,,,0.61,0.451,,,0.667,0.663,,,0.658,0.594,,,0.619,0.612,,,36,Female,Yes.,5cbf6a978c322e00169123d4,605b6ee6691599ae7a55f84e,605d03f980004f0fde755887,9,10,4,10,1,3,3,7,9,6,4,1
3/25/21 15:41,3/25/21 15:50,IP Address,,100,494,TRUE,3/25/21 15:50,R_3L3UDKLYR7opkt3,,,,,,,anonymous,EN,I consent. Begin the study.,1,0,0.996,1,,,,,1,1,,,1,1,,,0.994,1,,,1,1,,,1,1,62,Female,Yes.,5f8f1a21b663851259803615,605b6ee6691599ae7a55f84e,605d0393b74f935832b47a3d,3,4,9,7,9,10,3,5,8,7,9,6
